CityID,CityName,XCoordinate,YCoordinate,DiseaseID,Neighbours
0,Atlanta,0.196666666666667,0.617196702002356,2,4:8:10
1,San Francisco,0.0825,0.652532391048292,2,2:4:44:45
2,Los Angeles,0.0966666666666667,0.554770318021201,0,1:3:4:47
3,Mexico City,0.160833333333333,0.522968197879859,0,2:4:5:7:8
4,Chicago,0.170833333333333,0.68904593639576,2,0:1:2:3:9
5,Lima,0.209166666666667,0.332155477031802,0,3:6:7
6,Santiago,0.219166666666667,0.224970553592462,0,5
7,Bogota,0.233333333333333,0.43698468786808,0,3:5:8:11:13
8,Miami,0.24,0.537102473498233,0,0:3:7:10
9,Montreal,0.239166666666667,0.692579505300353,2,4:10:12
10,Washington,0.269166666666667,0.621908127208481,2,0:8:9:12
11,Buenos Aires,0.291666666666667,0.243816254416961,0,7:13
12,New York,0.2925,0.680800942285041,2,9:10:14:15
13,Sao Paulo,0.331666666666667,0.316843345111896,0,7:11:16
14,Madrid,0.410833333333333,0.641931684334511,2,12:13:15:17:18
15,London,0.420833333333333,0.739693757361602,2,12:14:17:19
16,Lagos,0.465,0.453474676089517,0,13:20:25
17,Paris,0.473333333333333,0.690223792697291,2,14:15:18:19:21
18,Algiers,0.4875,0.588928150765607,3,14:17:22:24
19,Essen,0.49,0.756183745583039,2,15:17:21:26
20,Kinshasa,0.51,0.386336866902238,0,16:23:25
21,Milan,0.519166666666667,0.70906949352179,2,17:19:24
22,Cairo,0.539166666666667,0.568904593639576,3,18:24:25:27:29
23,Johannesburg,0.548333333333333,0.288574793875147,0,20:25
24,Istanbul,0.548333333333333,0.652532391048292,3,18:21:22:26:27:28
25,Khartoum,0.554166666666667,0.472320376914017,0,16:20:22:23
26,St Petersburg,0.566666666666667,0.776207302709069,2,19:24:28
27,Baghdad,0.5975,0.603062426383981,3,22:24:29:30:31
28,Moscow,0.604166666666667,0.70906949352179,3,24:26:30
29,Riyadh,0.606666666666667,0.51472320376914,3,22:27:31
30,Tehran,0.650833333333333,0.663133097762073,3,27:28:31:33
31,Karachi,0.663333333333333,0.571260306242638,3,27:29:30:32:33
32,Mumbai,0.671666666666667,0.498233215547703,3,31:33:34
33,Delhi,0.715833333333333,0.599528857479388,3,30:31:32:34:35
34,Chennai,0.725833333333333,0.445229681978799,3,32:33:35:36:37
35,Kolkata,0.763333333333333,0.574793875147232,3,33:34:36:40
36,Bangkok,0.7725,0.491166077738516,1,34:35:37:40:41
37,Jakarta,0.774166666666667,0.362779740871614,1,34:36:40:47
38,Beijing,0.803333333333333,0.686690223792697,1,39:42
39,Shanghai,0.8075,0.618374558303887,1,38:40:42:43:45
40,Hong Kong,0.813333333333333,0.537102473498233,1,35:36:39:41:43:44
41,Ho Chi Minh City,0.8175,0.422850412249706,1,36:37:40:44
42,Seoul,0.865,0.691401648998822,1,38:39:45
43,Taipei,0.869166666666667,0.551236749116608,1,39:40:44:46
44,Manila,0.884166666666667,0.42756183745583,1,1:40:41:43:47
45,Tokyo,0.9125,0.654888103651355,1,1:39:42:46
46,Osaka,0.919166666666667,0.578327444051826,1,43:45
47,Sydney,0.925,0.228504122497055,1,2:37:44
